0,1,2,3,4,5,6,7,8
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020402,Entertainment,IN020402002,Digital Entertainment,"Producers and distributors of movies and other 
entertainment related contents through digital, 
Over the Top (OTT) platform."
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020402,Entertainment,IN020402003,Media & Entertainment,"Producers and distributors of entertainment 
products and services. It includes companies 
engaged in the production, distribution and 
screening of television shows, producers and 
distributors of music and sports teams. It excludes 
production and distribution of movies which is 
classified under 'Film Production, Distribution & 
Exhibition'."
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020402,Entertainment,IN020402004,"TV Broadcasting & 
Software Production","Owners of TV channels, includes broadcasting of TV 
shows and cable TV operators and DTH service 
providers"
IN02,Consumer Discretionary IN0204,,"Media, 
Entertainment & 
Publication",IN020403,Printing & Publication,IN020403001,Printing & Publication,"Companies providing service of commercial 
printing, publication of books, commercial 
documents etc,"
IN02,Consumer Discretionary IN0205,,Realty,IN020501,Realty,IN020501001,"Residential, Commercial 
Projects","Companies engaged in development and 
construction of residential/ commercial 
(offices/shops etc.) properties"
IN02,Consumer Discretionary IN0205,,Realty,IN020501,Realty,IN020501002,"Real Estate related 
services","Companies engaged in providing real estate related 
services like real estate agents, real estate leasing, 
real estate data analytics etc."
IN02,Consumer Discretionary IN0205,,Realty,IN020501,Realty,IN020501003,"Real Estate Investment 
Trusts (REITs)","Companies or Trusts engaged in ownership, 
acquisition, development, management and 
operation of real estate"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020601,Leisure Services,IN020601001,Hotels & Resorts,"Owners and operators of hotels, resorts etc.  
Includes investment trusts where underlying is 
'Hotels and Resorts'"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020601,Leisure Services,IN020601002,Restaurants,"Owners and operators of restaurants, recreation 
clubs, bars, coffee shops, fast-food, catering service 
etc."
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020601,Leisure Services,IN020601003,"Amusement Parks/ Other 
Recreation","Owners and operators of amusement parks, Casinos 
and other recreation facilities not covered above"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020601,Leisure Services,IN020601004,Wellness,"Owners and operators of wellness facilities such as 
gymnasium, yoga centre, beauty parlours, salons 
etc."
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020601,Leisure Services,IN020601005,"Tour, Travel Related 
Services","Companies engaged into provision of tour, travel 
related services. It includes tour operators, 
ticketing, visa processing, hotel and vehicle booking 
etc. It includes companies that provide such service 
through digital medium"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020602,Other Consumer Services,IN020602001,Education,"Any stream of education (including IT education or 
any specialized training) provided in classroom"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020602,Other Consumer Services,IN020602002,E-Learning,"Any stream of education (including IT education or 
any specialized training) provided through medium 
other than classroom"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020602,Other Consumer Services,IN020602003,Food Storage Facilities,"Companies engaged in providing food storage 
facility"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020602,Other Consumer Services,IN020602004,Other Consumer Services,"Companies providing other consumer services not 
classified elsewhere. It includes event managers, 
security services, housekeeping services etc."
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603001,Speciality Retail,"Owners and operators of retail store comprising a 
single class of goods such as apparels, electronics, 
stationary etc."
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603002,Pharmacy Retail,"Companies engaged in sale of pharmaceutical, 
provision of health related products and services 
through electronic medium"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603003,Diversified Retail,"Owners and operators of stores offering multiple 
range of product categories (department stores)"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603004,E-Retail/ E-Commerce,"Companies that earns significant revenue from 
provision of products or services predominantly 
through electronic medium such as internet."
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603005,"Internet & Catalogue 
Retail","Companies providing online directory of suppliers 
and potential buyers for various products/ 
merchandise"
IN02,Consumer Discretionary IN0206,,Consumer Services,IN020603,Retailing,IN020603006,Distributors,"Distributors and wholesalers of general 
merchandise not classified elsewhere"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030101,Gas,IN030101001,"Gas 
Transmission/Marketing","Companies engaged in marketing and/ or 
transportation of gases"
